"cnpj";"razao_social";"nome_fantasia";"abertura";"situacao";"tipo";"porte";"telefone";"email";"logradouro";"numero";"bairro";"municipio";"uf";"cep";"cnae_principal";"cnae_principal_desc";"cnaes_secundarios";"socios"
"06.980.081/0001-10";"ENCORA BRAZIL LTDA";"ENCORA";"2004-08-19";"ATIVA";"MATRIZ";"DEMAIS";"(19) 3707-9610 / (19";"accounting-sab@encora.com";"AVENIDA SELMA PARADA";"201";"JARDIM MADALENA";"CAMPINAS";"SP";"13.091-9";"62.01-5-01";"Desenvolvimento de programas de computador sob encomenda";"62.04-0-00 - Consultoria em tecnologia da informação; 62.09-1-00 - Suporte técnico, manutenção e outros serviços em tecnologia da informação";"ENCORA HOLDINGS LIMITED; SILVIO RICARDO JOSE ROGATTO"
"07.098.192/0001-60";"MOTO HELP ENTREGAS RAPIDAS LTDA";"";"2004-10-05";"ATIVA";"MATRIZ";"EMPRESA DE PEQUENO PORTE";"(19) 3278-3689";"";"RUA SERRA AZUL";"277";"JARDIM NOVA EUROPA";"CAMPINAS";"SP";"13.040-1";"49.30-2-01";"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal";"49.30-2-02 - Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional; 52.11-7-01 - Armazéns gerais - emissão de warrant; 52.11-7-99 - Depósitos de mercadorias para terceiros, exceto armazéns gerais e guarda-móveis; 53.20-2-01 - Serviços de malote não realizados pelo Correio Nacional; 53.20-2-02 - Serviços de entrega rápida";"LILIA MARIA DE OLIVEIRA POSSIDONIO"
"07.228.258/0001-99";"CAIENA - DESENVOLVIMENTO DE SOFTWARE LTDA";"CAIENA - TECNOLOGIA E DESIGN";"2005-02-24";"ATIVA";"MATRIZ";"DEMAIS";"(19) 2085-9615 / (19";"financeiro@caiena.net";"AVENIDA ANTONIO ARTIOLI, 570";"570";"SWISS PARK";"CAMPINAS";"SP";"13.049-9";"62.01-5-01";"Desenvolvimento de programas de computador sob encomenda";"64.63-8-00 - Outras sociedades de participação, exceto holdings; 62.04-0-00 - Consultoria em tecnologia da informação; 64.62-0-00 - Holdings de instituições não-financeiras; 47.51-2-01 - Comércio varejista especializado de equipamentos e suprimentos de informática; 62.09-1-00 - Suporte técnico, manutenção e outros serviços em tecnologia da informação";"EDUARDO GREDINARE FOSTER; CAIO MIGUEL MARQUES; EDUARDO ROQUE NOBREGA DE ASSIS; PEDRO GABRIEL ROQUE NOBREGA DE ASSIS; PAULO HENRIQUE ARANTES URGAL"
"07.339.867/0001-15";"SYNVIA LABORATORIOS E TOXICOLOGIA LTDA";"SYNVIA";"2005-03-29";"ATIVA";"MATRIZ";"DEMAIS";"(19) 3765-6896";"cadastro.tributario@synvia.com";"R JOSE GERALDO CEREBINO CHRISTOFARO";"245";"PARQUE RURAL FAZENDA SANTA CANDIDA";"CAMPINAS";"SP";"13.087-5";"86.30-5-02";"Atividade médica ambulatorial com recursos para realização de exames complementares";"72.10-0-00 - Pesquisa e desenvolvimento experimental em ciências físicas e naturais; 86.40-2-02 - Laboratórios clínicos";"SYNVIA PARTICIPACOES SOCIETARIAS LTDA; PEDRO DUCCI SERAFIM"
"07.526.557/0004-52";"AMBEV S.A.";"CENTRO DE SERVICOS COMPARTILHADOS";"2013-06-26";"ATIVA";"FILIAL";"DEMAIS";"(19) 3313-5680 / (19";"opobrigaces@ambev.com.br";"AVENIDA ANTARCTICA";"1891";"SANTA URSULA";"JAGUARIUNA";"SP";"13.918-0";"11.13-5-02";"Fabricação de cervejas e chopes";"10.99-6-99 - Fabricação de outros produtos alimentícios não especificados anteriormente; 10.99-6-04 - Fabricação de gelo comum; 20.14-2-00 - Fabricação de gases industriais; 17.31-1-00 - Fabricação de embalagens de papel; 46.86-9-02 - Comércio atacadista de embalagens; 10.64-3-00 - Fabricação de farinha de milho e derivados, exceto óleos de milho; 46.35-4-02 - Comércio atacadista de cerveja, chope e refrigerante; 73.19-0-02 - Promoção de vendas; 73.20-3-00 - Pesquisas de mercado e de opinião pública; 56.11-2-03 - Lanchonetes, casas de chá, de sucos e similares; 64.63-8-00 - Outras sociedades de participação, exceto holdings";""
"07.668.523/0001-50";"FRATELLI RICCI QUIMICA BRASIL LTDA.";"RICCI";"2005-08-17";"ATIVA";"MATRIZ";"DEMAIS";"(19) 3469-9020";"financeiro@fratelliricci.com.br";"AVENIDA JOSE FORTUNATO SANTON";"516";"DISTRITO INDUSTRIAL ABDO NAJAR";"AMERICANA";"SP";"13.474-7";"20.99-1-99";"Fabricação de outros produtos químicos não especificados anteriormente";"00.00-0-00 - Não informada";"FRATELLI RICCI FABBRICA PRODOTTI CHIMICI SRL; CONSORIMA COMERCIO DE PRODUTOS QUIMICOS S/A; EDUARDO JUNGER RIBEIRO"
"07.778.411/0001-51";"PLENO TELECOMUNICACOES LTDA";"PLENO COMUNICACAO VOIP";"2006-01-03";"ATIVA";"MATRIZ";"MICRO EMPRESA";"(19) 3241-4535 / (19";"mauricio@adtechtelecom.com.br";"RUA HERCULES FLORENCE";"29";"BOTAFOGO";"CAMPINAS";"SP";"13.020-1";"61.90-6-02";"Provedores de voz sobre protocolo Internet - VOIP";"33.29-5-99 - Instalação de outros equipamentos não especificados anteriormente; 46.14-1-00 - Representantes comerciais e agentes do comércio de máquinas, equipamentos, embarcações e aeronaves; 46.18-4-99 - Outros representantes comerciais e agentes do comércio especializado em produtos não especificados anteriormente; 47.51-2-01 - Comércio varejista especializado de equipamentos e suprimentos de informática; 47.53-9-00 - Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo; 61.10-8-01 - Serviços de telefonia fixa comutada - STFC; 61.10-8-02 - Serviços de redes de transporte de telecomunicações - SRTT; 61.10-8-03 - Serviços de comunicação multimídia - SCM; 61.10-8-99 - Serviços de telecomunicações por fio não especificados anteriormente; 61.90-6-01 - Provedores de acesso às redes de comunicações; 61.90-6-99 - Outras atividades de telecomunicações não especificadas anteriormente; 70.20-4-00 - Atividades de consultoria em gestão empresarial; 77.33-1-00 - Aluguel de máquinas e equipamentos para escritório";"MARCELA MARIA MACHADO MARCHI; MAURICIO CARLOS CARMO MARCHI"
"08.354.533/0001-83";"AJVM COMERCIO E SERVICOS DE INFORMATICA LTDA";"AVS TECNOLOGIA";"2006-09-11";"ATIVA";"MATRIZ";"EMPRESA DE PEQUENO PORTE";"(19) 3243-9559";"susana.veiga@avstecnologia.com.br";"RUA MANUEL MARIA BARBOSA DU BOCAGE";"70";"PARQUE TAQUARAL";"CAMPINAS";"SP";"13.087-2";"62.09-1-00";"Suporte técnico, manutenção e outros serviços em tecnologia da informação";"47.51-2-01 - Comércio varejista especializado de equipamentos e suprimentos de informática; 74.90-1-04 - Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários; 85.99-6-03 - Treinamento em informática; 62.03-1-00 - Desenvolvimento e licenciamento de programas de computador não-customizáveis; 95.11-8-00 - Reparação e manutenção de computadores e de equipamentos periféricos";"SUSANA VOLTANI VEIGA; ANDRE JOAQUIM VEIGA DE MORAES"
"08.401.346/0001-03";"SOFIST QUALIDADE DE SOFTWARE S.A.";"SOFIST";"2006-10-30";"ATIVA";"MATRIZ";"DEMAIS";"(19) 3291-5321 / (19";"financeiro@sofist.com.br";"AVENIDA OROSIMBO MAIA";"360";"CENTRO";"CAMPINAS";"SP";"13.010-2";"62.01-5-01";"Desenvolvimento de programas de computador sob encomenda";"62.04-0-00 - Consultoria em tecnologia da informação; 62.02-3-00 - Desenvolvimento e licenciamento de programas de computador customizáveis; 62.09-1-00 - Suporte técnico, manutenção e outros serviços em tecnologia da informação; 85.99-6-04 - Treinamento em desenvolvimento profissional e gerencial; 63.19-4-00 - Portais, provedores de conteúdo e outros serviços de informação na internet";"JULIO ESSLINGER VIEGAS; BRUNO TEIXEIRA DE ABREU"
"08.580.849/0001-93";"IT GLOBAL SERVICES CONSULTORIA EM SISTEMAS DE INFORMATICA LTDA";"ONLINE APPLICATIONS";"2007-01-03";"ATIVA";"MATRIZ";"DEMAIS";"(19) 4062-8611 / (19";"luis.lemes@onlineapp.com.br";"RUA ADELAIDE DANIEL DE ALMEIDA";"170";"LOTEAMENTO CENTER SANTA GENEBRA";"CAMPINAS";"SP";"13.080-6";"62.09-1-00";"Suporte técnico, manutenção e outros serviços em tecnologia da informação";"62.02-3-00 - Desenvolvimento e licenciamento de programas de computador customizáveis; 62.03-1-00 - Desenvolvimento e licenciamento de programas de computador não-customizáveis; 85.99-6-03 - Treinamento em informática; 47.51-2-01 - Comércio varejista especializado de equipamentos e suprimentos de informática";"CRISTIAN RODRIGUES DA SILVA; ONLINE PARTICIPACOES S.A.; LEVI RODRIGUES SILVA; MARCOS DAVI MENDES; WESLEY RODRIGUES SILVA"
"08.654.191/0001-17";"SINCH BRASIL S.A.";"";"2007-02-12";"BAIXADA";"MATRIZ";"DEMAIS";"(19) 3518-5500 / (19";"fiscal-wavy@sinch.com";"AVENIDA CORONEL SILVA TELES";"977";"CAMBUI";"CAMPINAS";"SP";"13.024-0";"00.00-0-00";"********";"00.00-0-00 - Não informada";"MICHELE CARLO BADER; CECILIA PAIN ALVARES COLACO"
"08.998.654/0001-68";"I.SYSTEMS AUTOMACAO INDUSTRIAL S.A.";"I.SYSTEMS AUTOMACAO INDUSTRIAL";"2007-07-13";"ATIVA";"MATRIZ";"DEMAIS";"(19) 3381-1054";"juridico@i.systems.com.br";"RUA AMALIA DELLA COLLETA";"701";"PARQUE IMPERADOR";"CAMPINAS";"SP";"13.097-1";"62.02-3-00";"Desenvolvimento e licenciamento de programas de computador customizáveis";"62.09-1-00 - Suporte técnico, manutenção e outros serviços em tecnologia da informação";"IGOR BITTENCOURT SANTIAGO; TIAGO DE LIMA FERREIRA; MARCELO MITRE FILHO; DANILO LAVIGNE HALLA; PEDRO BARROS MERCADANTE OLIVA; RAPHAEL CHAVES DIAS; SAMYRA KATHERINE MARQUES TINOCO"
"09.030.444/0001-44";"CAMPOS SALES COMERCIO DE LIVROS E INFORMATICA LTDA.";"";"2007-08-14";"ATIVA";"MATRIZ";"MICRO EMPRESA";"(19) 2116-2500 / (19";"contabilidade@microcamp.com.br";"RUA EMERSON JOSE MOREIRA";"1710";"CHACARA PRIMAVERA";"CAMPINAS";"SP";"13.087-4";"47.61-0-01";"Comércio varejista de livros";"85.41-4-00 - Educação profissional de nível técnico; 85.93-7-00 - Ensino de idiomas; 85.99-6-03 - Treinamento em informática";"ARAGONES PARTICIPACOES LTDA; ELOY TUFFI"
"09.267.863/0001-02";"PRISMA COMERCIAL EXPORTADORA DE OLEOQUIMICOS LTDA";"PRISMA COMERCIAL IMPORTADORA E EXPORTADORA";"2007-12-06";"ATIVA";"MATRIZ";"DEMAIS";"(47) 3086-3630";"contabil.prisma@prismabrazil.com";"AVENIDA ITALIA";"482";"SAO PELEGRINO";"CAXIAS DO SUL";"RS";"95.010-0";"46.84-2-99";"Comércio atacadista de outros produtos químicos e petroquímicos não especificados anteriormente";"10.41-4-00 - Fabricação de óleos vegetais em bruto, exceto óleo de milho; 10.43-1-00 - Fabricação de margarina e outras gorduras vegetais e de óleos não comestíveis de animais; 10.66-0-00 - Fabricação de alimentos para animais; 19.32-2-00 - Fabricação de biocombustíveis, exceto álcool; 20.29-1-00 - Fabricação de produtos químicos orgânicos não especificados anteriormente; 20.61-4-00 - Fabricação de sabões e detergentes sintéticos; 22.22-6-00 - Fabricação de embalagens de material plástico; 46.22-2-00 - Comércio atacadista de soja; 46.23-1-03 - Comércio atacadista de algodão; 46.23-1-06 - Comércio atacadista de sementes, flores, plantas e gramas; 46.23-1-09 - Comércio atacadista de alimentos para animais; 46.23-1-99 - Comércio atacadista de matérias-primas agrícolas não especificadas anteriormente; 46.32-0-01 - Comércio atacadista de cereais e leguminosas beneficiados; 46.37-1-03 - Comércio atacadista de óleos e gorduras; 46.84-2-01 - Comércio atacadista de resinas e elastômeros; 46.87-7-03 - Comércio atacadista de resíduos e sucatas metálicos; 47.44-0-02 - Comércio varejista de madeira e artefatos; 49.30-2-01 - Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal; 49.30-2-02 - Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional; 52.11-7-99 - Depósitos de mercadorias para terceiros, exceto armazéns gerais e guarda-móveis; 52.32-0-00 - Atividades de agenciamento marítimo; 52.50-8-03 - Agenciamento de cargas, exceto para o transporte marítimo; 70.20-4-00 - Atividades de consultoria em gestão empresarial; 71.20-1-00 - Testes e análises técnicas; 82.11-3-00 - Serviços combinados de escritório e apoio administrativo";"MGR HOLDING LTDA; MOISES GARCIA DA ROCHA"
"09.289.704/0001-09";"AKIVA TECNOLOGIA LTDA";"";"2007-12-27";"ATIVA";"MATRIZ";"EMPRESA DE PEQUENO PORTE";"(19) 3797-5734 / (19";"daniel@serkas.com.br";"AVENIDA CAMBACICA";"520";"PARQUE DOS RESEDAS";"CAMPINAS";"SP";"13.097-1";"62.02-3-00";"Desenvolvimento e licenciamento de programas de computador customizáveis";"63.11-9-00 - Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet; 62.09-1-00 - Suporte técnico, manutenção e outros serviços em tecnologia da informação; 62.04-0-00 - Consultoria em tecnologia da informação; 77.33-1-00 - Aluguel de máquinas e equipamentos para escritório; 47.51-2-01 - Comércio varejista especializado de equipamentos e suprimentos de informática";"RICARDO FERNANDES PIMENTA"
"09.344.974/0001-67";"MALL GRAPHIC EXPRESS LTDA";"";"2008-01-18";"SUSPENSA";"MATRIZ";"MICRO EMPRESA";"(19) 3256-7133";"aparecida sims@uol.com.br";"RUA RUTE FERRAZ DE ANGELIS";"886";"VILLA BELLA";"CAMPINAS";"SP";"13.087-7";"53.20-2-01";"Serviços de malote não realizados pelo Correio Nacional";"47.51-2-01 - Comércio varejista especializado de equipamentos e suprimentos de informática; 47.61-0-03 - Comércio varejista de artigos de papelaria; 47.89-0-01 - Comércio varejista de suvenires, bijuterias e artesanatos; 63.11-9-00 - Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet; 74.10-2-99 - Atividades de desing não especificadas anteriormente; 82.19-9-01 - Fotocópias; 82.19-9-99 - Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente; 82.99-7-07 - Salas de acesso à Internet";"ROGERIO DE OLIVEIRA"
"09.441.008/0001-68";"UNITA EDUCACIONAL LTDA";"";"2008-03-05";"ATIVA";"MATRIZ";"EMPRESA DE PEQUENO PORTE";"(32) 3231-0077 / (19";"financeiro.campinas@unitaeducacional.com.br";"RUA CAPITAO FRANCISCO DE PAULA";"333";"CAMBUI";"CAMPINAS";"SP";"13.024-4";"85.99-6-99";"Outras atividades de ensino não especificadas anteriormente";"47.61-0-01 - Comércio varejista de livros; 58.11-5-00 - Edição de livros";"RODRIGO ALVES DO NASCIMENTO; MARCIO PRADO CHAIB JORGE"
"09.461.391/0001-16";"WPS PRINT COMERCIO DE INFORMATICA LTDA";"WPS PRINT";"2008-03-20";"ATIVA";"MATRIZ";"MICRO EMPRESA";"(19) 3243-9990 / (19";"daniela@fcompany.com.br";"AVENIDA NOSSA SENHORA DA CONSOLACAO";"284";"JARDIM AURELIA";"CAMPINAS";"SP";"13.033-1";"47.51-2-01";"Comércio varejista especializado de equipamentos e suprimentos de informática";"77.33-1-00 - Aluguel de máquinas e equipamentos para escritório; 95.11-8-00 - Reparação e manutenção de computadores e de equipamentos periféricos";"JOHNY LIMA MAGALHAES"
"10.658.076/0001-62";"EITV TECNOLOGIA DE STREAMING E TV DIGITAL LTDA";"";"2009-02-10";"ATIVA";"MATRIZ";"MICRO EMPRESA";"(19) 3579-0744";"atendimento@eitv.com.br";"RUA RAFAEL ANDRADE DUARTE";"600";"JARDIM PARAISO";"CAMPINAS";"SP";"13.100-0";"47.51-2-01";"Comércio varejista especializado de equipamentos e suprimentos de informática";"47.52-1-00 - Comércio varejista especializado de equipamentos de telefonia e comunicação; 61.90-6-01 - Provedores de acesso às redes de comunicações; 62.02-3-00 - Desenvolvimento e licenciamento de programas de computador customizáveis; 62.03-1-00 - Desenvolvimento e licenciamento de programas de computador não-customizáveis; 62.04-0-00 - Consultoria em tecnologia da informação; 62.09-1-00 - Suporte técnico, manutenção e outros serviços em tecnologia da informação; 63.11-9-00 - Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet; 74.90-1-04 - Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários; 77.33-1-00 - Aluguel de máquinas e equipamentos para escritório; 85.99-6-03 - Treinamento em informática; 95.11-8-00 - Reparação e manutenção de computadores e de equipamentos periféricos";"RODRIGO CASCAO ARAUJO; GLORIA MARIA CASCAO DE ARAUJO; SIMONE ROSIANE MILANEZ ARAUJO"
"10.792.020/0001-04";"SMARTBREEDER S.A.";"SMARTBREEDER S.A.";"2009-04-29";"ATIVA";"MATRIZ";"DEMAIS";"(18) 9641-2285 / (18";"leticia.santos@smartbreeder.com.br";"AVENIDA CEZIRA GIOVANONI MORETTI";"600";"LOTEAMENTO SANTA ROSA";"PIRACICABA";"SP";"13.414-1";"62.02-3-00";"Desenvolvimento e licenciamento de programas de computador customizáveis";"47.89-0-99 - Comércio varejista de outros produtos não especificados anteriormente; 62.01-5-01 - Desenvolvimento de programas de computador sob encomenda; 62.09-1-00 - Suporte técnico, manutenção e outros serviços em tecnologia da informação; 69.11-7-03 - Agente de propriedade industrial; 72.10-0-00 - Pesquisa e desenvolvimento experimental em ciências físicas e naturais; 74.90-1-03 - Serviços de agronomia e de consultoria às atividades agrícolas e pecuárias; 85.99-6-04 - Treinamento em desenvolvimento profissional e gerencial";"EDER ANTONIO GIGLIOTI; DREID CRISTINA PERES RODERO; DONAVAN PERES RODERO; FELIPE NINNI; RENAN DOS SANTOS SABBAG; CRISTIANO FAGUNDES"
"11.416.883/0002-12";"GRACOM - COMERCIO E SERVICOS DE ESCOLA DE INFORMATICA E TREINAMENTOS LTDA.";"GRACOM";"2014-02-24";"ATIVA";"FILIAL";"MICRO EMPRESA";"(85) 3023-1383 / (85";"cjncontabilidade@hotmail.com";"RUA FLORIANO PEIXOTO";"484";"CENTRO";"FORTALEZA";"CE";"60.025-1";"82.11-3-00";"Serviços combinados de escritório e apoio administrativo";"00.00-0-00 - Não informada";""
"11.971.233/0003-10";"LSA TREINAMENTO EM INFORMATICA E IDIOMAS LTDA";"MICROPRO";"2011-08-10";"BAIXADA";"FILIAL";"EMPRESA DE PEQUENO PORTE";"(19) 3702-1255";"fabio@micropro.com.br";"RUA TREZE DE MAIO";"455";"CENTRO";"VALINHOS";"SP";"13.270-0";"00.00-0-00";"********";"00.00-0-00 - Não informada";""
"12.081.776/0001-62";"SOLCERA DO BRASIL MATERIAIS AVANCADOS LTDA.";"";"2010-04-27";"ATIVA";"MATRIZ";"DEMAIS";"(19) 3399-7500 / (19";"lamadeu@solcera.com.br";"RUA ANTONIO MATHEUS SOBRINHO (JARDIM SAO MATHEUS)";"150";"SANTA CLAUDINA";"VINHEDO";"SP";"13.284-4";"23.49-4-99";"Fabricação de produtos cerâmicos não refratários não especificados anteriormente";"00.00-0-00 - Não informada";"GUILLAUME KIM HUON LISLE; ORCERAM"
"12.375.875/0001-57";"ATGB - INSTALACAO, MANUTENCAO EM SISTEMAS DE SEGURANCA LTDA";"";"2010-07-01";"ATIVA";"MATRIZ";"DEMAIS";"(19) 3324-7500";"luiz@atgbsistemas.com.br";"AVENIDA CARLOS GRIMALDI";"145";"JARDIM CONCEICAO";"CAMPINAS";"SP";"13.091-0";"43.21-5-00";"Instalações elétricas";"47.42-3-00 - Comércio varejista de material elétrico; 47.51-2-01 - Comércio varejista especializado de equipamentos e suprimentos de informática; 61.10-8-03 - Serviços de comunicação multimídia - SCM; 61.90-6-01 - Provedores de acesso às redes de comunicações; 62.03-1-00 - Desenvolvimento e licenciamento de programas de computador não-customizáveis; 71.12-0-00 - Serviços de engenharia; 77.33-1-00 - Aluguel de máquinas e equipamentos para escritório; 77.39-0-99 - Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador; 95.11-8-00 - Reparação e manutenção de computadores e de equipamentos periféricos";"EDUARDO ARAUJO SENA; LUIZ GONZAGA DE AGUIAR NETO; KLEBBER EDUARDO RODRIGUES BUENO"
"12.549.951/0001-01";"BRAVO BR ASSESSORIA ADMINISTRATIVA E SERVICOS PARA VIAGENS LTDA";"BRAVO BR ASSESSORIA ADMINISTRATIVA E SERVICOS VIAGENS";"2010-09-13";"ATIVA";"MATRIZ";"MICRO EMPRESA";"(19) 3327-0766 / (19";"financeiro@bravobr.com.br";"AVENIDA PALESTINA";"123";"JARDIM FLAMBOYANT";"CAMPINAS";"SP";"13.091-1";"82.19-9-99";"Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente";"79.11-2-00 - Agências de viagens; 82.11-3-00 - Serviços combinados de escritório e apoio administrativo";"GUILHERME SUCUPIRA DE OLIVEIRA"
"12.564.086/0001-64";"KUMULUS SERVICOS EM CLOUD COMPUTING E DATABASE LTDA";"KUMULUS CLOUD & DATA.";"2010-09-08";"ATIVA";"MATRIZ";"DEMAIS";"(11) 4862-0058 / (11";"financeiro@kumulus.com.br";"11A AVENIDA AVENIDA SELMA PARADA, 201";"201";"JARDIM MADALENA";"CAMPINAS";"SP";"13.091-9";"62.09-1-00";"Suporte técnico, manutenção e outros serviços em tecnologia da informação";"62.01-5-01 - Desenvolvimento de programas de computador sob encomenda; 62.02-3-00 - Desenvolvimento e licenciamento de programas de computador customizáveis; 62.03-1-00 - Desenvolvimento e licenciamento de programas de computador não-customizáveis; 62.04-0-00 - Consultoria em tecnologia da informação; 63.11-9-00 - Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet; 70.20-4-00 - Atividades de consultoria em gestão empresarial; 74.90-1-04 - Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários; 95.11-8-00 - Reparação e manutenção de computadores e de equipamentos periféricos";"TATIANI DESPIRTO BARROSO MARCONDES; RICARDO SANCHEZ COPRIVA; CIRRUS PARTICIPACOES S.A.; THIAGO IACOPINI"
"12.877.451/0001-90";"ORYON SERVICOS ESPECIALIZADOS EM SUPORTE PARA INFORMATICA E TECNOLOGIA DA INFORMACAO LTDA";"ORYON TI";"2010-11-12";"ATIVA";"MATRIZ";"MICRO EMPRESA";"(19) 3743-2550 / (19";"financeiro@oryonti.com";"RUA FREI ANTONIO DE PADUA";"755";"JARDIM GUANABARA";"CAMPINAS";"SP";"13.073-3";"47.51-2-01";"Comércio varejista especializado de equipamentos e suprimentos de informática";"33.29-5-99 - Instalação de outros equipamentos não especificados anteriormente; 43.21-5-00 - Instalações elétricas; 62.04-0-00 - Consultoria em tecnologia da informação; 62.09-1-00 - Suporte técnico, manutenção e outros serviços em tecnologia da informação; 63.11-9-00 - Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet; 77.33-1-00 - Aluguel de máquinas e equipamentos para escritório; 77.39-0-99 - Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador; 95.11-8-00 - Reparação e manutenção de computadores e de equipamentos periféricos";"MARCELO AUGUSTO DO NASCIMENTO RODRIGUES; MABELE MARTINS RODRIGUES"
"13.625.300/0001-08";"HITACHI ASTEMO CAMPINAS LTDA";"";"2011-01-03";"ATIVA";"MATRIZ";"DEMAIS";"(19) 2101-5176 / (19";"andrea.fais@hitachiastemo.com";"RUA JOAO FELIPE XAVIER DA SILVA";"384";"SAO BERNARDO";"CAMPINAS";"SP";"13.030-6";"29.43-3-00";"Fabricação de peças e acessórios para o sistema de freios de veículos automotores";"28.29-1-99 - Fabricação de outras máquinas e equipamentos de uso geral não especificados anteriormente, peças e acessórios; 35.13-1-00 - Comércio atacadista de energia elétrica; 64.63-8-00 - Outras sociedades de participação, exceto holdings; 68.10-2-01 - Compra e venda de imóveis próprios; 68.10-2-02 - Aluguel de imóveis próprios; 71.12-0-00 - Serviços de engenharia";"ANTONIO RODRIGUES DA SILVA FILHO; THIAGO MARTINS; CHASSIS BRAKES INTERNATIONAL USA INC; CHASSIS BRAKES INTERNATIONAL B.V."
"13.992.585/0001-15";"DCIDE LTDA";"";"2011-06-17";"ATIVA";"MATRIZ";"EMPRESA DE PEQUENO PORTE";"(19) 2513-4118";"contato@dcide.com.br";"RUA BARATA RIBEIRO";"79";"VILA ITAPURA";"CAMPINAS";"SP";"13.023-0";"62.02-3-00";"Desenvolvimento e licenciamento de programas de computador customizáveis";"63.11-9-00 - Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet; 63.19-4-00 - Portais, provedores de conteúdo e outros serviços de informação na internet; 62.09-1-00 - Suporte técnico, manutenção e outros serviços em tecnologia da informação; 70.20-4-00 - Atividades de consultoria em gestão empresarial; 73.19-0-03 - Marketing direto; 85.99-6-04 - Treinamento em desenvolvimento profissional e gerencial; 82.19-9-99 - Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente";"DANILO LIMA MATIAS; HENRIQUE LEME FELIZATTI; PATRICIO MARTIN HANSEN; CARLOS ALBERTO RUESTA CHANGMAN"
"14.466.113/0001-91";"R. FERRAREZI ENGENHARIA E CONSULTORIA LTDA.";"R. FERRAREZI";"2011-09-13";"ATIVA";"MATRIZ";"DEMAIS";"(19) 3871-2027 / (19";"ecsaojose@uol.com.br";"RUA CONEGO CIPIAO";"402";"CENTRO";"CAMPINAS";"SP";"13.010-0";"71.12-0-00";"Serviços de engenharia";"00.00-0-00 - Não informada";"ROSIVALDO FERRAREZI; NEUSA MARIA ROCHA"
"14.675.270/0002-98";"EUCATEX INDUSTRIA E COMERCIO LTDA";"SALTO-QUIMICA";"2012-02-01";"ATIVA";"FILIAL";"DEMAIS";"(84) 3206-1822";"junior@celtaconsultoria.com.br";"EST GUARUJA";"3150";"JARDIM MARILIA";"SALTO";"SP";"13.323-0";"20.71-1-00";"Fabricação de tintas, vernizes, esmaltes e lacas";"47.44-0-05 - Comércio varejista de materiais de construção não especificados anteriormente; 25.99-3-99 - Fabricação de outros produtos de metal não especificados anteriormente; 46.79-6-04 - Comércio atacadista especializado de materiais de construção não especificados anteriormente; 16.10-2-03 - Serrarias com desdobramento de madeira em bruto";""
"14.846.023/0001-26";"NVT COMERCIO E SERVICO DE EQUIPAMENTOS DE COMUNICACAO LTDA";"GRUPO NVT";"2011-10-31";"ATIVA";"MATRIZ";"DEMAIS";"(19) 2515-3704";"tiago.ribeiro@netglobe.com.br";"AVENIDA CAMBACICA";"520";"PARQUE DOS RESEDAS";"CAMPINAS";"SP";"13.097-1";"47.52-1-00";"Comércio varejista especializado de equipamentos de telefonia e comunicação";"46.19-2-00 - Representantes comerciais e agentes do comércio de mercadorias em geral não especializado; 47.51-2-01 - Comércio varejista especializado de equipamentos e suprimentos de informática; 62.02-3-00 - Desenvolvimento e licenciamento de programas de computador customizáveis; 62.03-1-00 - Desenvolvimento e licenciamento de programas de computador não-customizáveis; 62.04-0-00 - Consultoria em tecnologia da informação; 62.09-1-00 - Suporte técnico, manutenção e outros serviços em tecnologia da informação; 74.20-0-04 - Filmagem de festas e eventos; 74.90-1-04 - Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários; 77.33-1-00 - Aluguel de máquinas e equipamentos para escritório; 82.30-0-01 - Serviços de organização de feiras, congressos, exposições e festas; 85.99-6-03 - Treinamento em informática; 95.11-8-00 - Reparação e manutenção de computadores e de equipamentos periféricos";"LUIZ RENATO DE SOUZA BATISTA"
